ticker,snapshot_date,rvol,volume_zscore,vol_price_divergence,vol_spike_days,vol_trend_slope_norm,log_return_1d,price_vs_sma20,rsi_14,bb_width,gap_open,range_expansion,buzz_density,extreme_language_ratio,moderate_hype_ratio,bearish_ratio,source_diversity,headline_similarity,catalyst_flag,hype_without_catalyst,news_volume_sync,silent_spike,pseudo_label,hype_score_raw
NVDA,2024-10-03,0.937,-0.285,-2.429,0,0.002539,0.0331,5.074,55.66,19.25,1.742,0.895,3.75,0.0,0.0,0.033,0.4,0.064,0,0,0,0,NEUTRAL,0.4218
PEP,2023-08-14,0.718,-0.515,0.489,0,-0.101809,-0.00228,-1.91,30.57,5.894,0.19,0.716,3.75,0.0,0.0,0.033,0.433,0.102,0,0,0,0,NEUTRAL,0.4552
AVGO,2025-02-14,0.558,-0.803,-0.613,0,-0.037228,-0.01177,2.209,75.38,22.144,-0.539,0.848,3.75,0.0,0.033,0.0,0.633,0.125,0,0,0,0,NEUTRAL,0.3895
TGT,2024-09-04,0.741,-0.271,0.294,1,0.049043,0.00447,3.918,73.49,27.925,0.56,1.322,3.75,0.0,0.033,0.033,0.467,0.081,0,0,0,0,NEUTRAL,0.421
LLY,2024-09-24,1.01,0.015,0.366,1,0.066627,0.00641,-0.198,42.48,8.192,0.392,0.934,3.75,0.0,0.033,0.0,0.4,0.132,0,0,0,0,NEUTRAL,0.4147
TSLA,2024-03-05,1.185,1.142,-2.748,0,0.087293,-0.04013,-6.583,47.48,13.94,-2.705,0.979,3.75,0.0,0.0,0.1,0.5,0.07,0,0,0,0,NEUTRAL,0.4572
KO,2024-03-05,0.907,-0.348,0.422,0,0.003421,-0.00486,-0.888,51.88,4.315,0.167,1.121,3.75,0.0,0.033,0.0,0.467,0.109,0,0,0,0,NEUTRAL,0.4273
CRM,2024-05-23,1.429,1.934,-0.42,0,0.116971,-0.01867,0.161,56.67,8.099,1.008,2.012,3.75,0.0,0.0,0.0,0.4,0.093,1,0,0,0,NEUTRAL,0.3665
GM,2025-02-26,1.556,1.048,-2.19,0,0.215839,0.03678,1.231,54.22,8.324,4.71,1.511,3.75,0.0,0.067,0.033,0.533,0.089,0,0,0,0,NEUTRAL,0.3741
UNH,2024-07-05,0.743,-0.276,0.359,1,-0.865348,-0.00385,-0.599,45.85,5.504,-0.182,0.551,3.75,0.033,0.067,0.0,0.533,0.097,0,0,0,0,NEUTRAL,0.3997
HOOD,2023-08-14,0.517,-1.295,-0.136,0,-0.088863,-0.00655,-11.468,24.39,29.516,-0.56,0.452,3.75,0.0,0.033,0.0,0.667,0.108,0,0,0,0,NEUTRAL,0.392
NCLH,2024-03-14,0.613,-0.592,-2.104,0,-0.026833,-0.02755,5.269,71.47,35.918,-0.503,0.934,3.75,0.0,0.033,0.067,0.5,0.123,0,0,0,0,NEUTRAL,0.3955
BBBY,2023-12-21,0.768,-0.448,-8.373,0,0.042894,0.08748,22.343,81.82,56.34,2.196,1.072,3.75,0.0,0.0,0.0,0.5,0.165,0,0,0,0,NEUTRAL,0.3833
